Title,Price,Property Type,Bedrooms,Bathrooms,Area,Location
"Residential Building for Sale in Dhahrat Laban, West Riyadh","10,000,000",Residential Building,10,10,900 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Villa for sale in Hittin, north Riyadh","6,500,000",Villa,4,5,450 Sq. M.,"Hittin, North Riyadh, Riyadh"
"Villa for Sale in Al Muruj, North Riyadh","5,000,000",Villa,7,3,450 Sq. M.,"Al Muruj, North Riyadh, Riyadh"
"3 Bedrooms Floor For Sale in Al Malaz, Riyadh","749,000",Floor,3,3,991 Sq. M.,"Al Malaz, Central Riyadh, Riyadh"
"Apartment for sale in Al Janaderiya district, Riyadh city, Riyadh region","950,000",Apartment,4,3,188 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","2,600,000",Villa,11,5,380 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","2,600,000",Villa,11,5,380 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Janadriyah 4 bedrooms 950000 SAR - 87616327,"950,000",Apartment,4,3,188 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Townhouse for sale in Al Janaderiyah district, Riyadh city, Riyadh region","950,000",Apartment,4,3,188 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Al Janadriyah, east Riyadh","1,050,000",Apartment,11,7,288 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"3 Bedrooms Apartment For Sale in Al Narjes, Riyadh","1,199,000",Apartment,3,3,975 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment For Sale in Al Rimal, East Riyadh","680,000",Apartment,3,3,990 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"3 Bedrooms Floor For Sale in Al Olaya, Riyadh","2,249,000",Floor,3,3,660 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 7 bedrooms 2900000 SAR - 87625619,"2,900,000",Villa,7,7,450 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
For sale a corner land in Al Khair 3541 Al Dhahabi plan,"3,200,222",Residential Land,N/A,N/A,712 Sq. M.,"Al Kair District, North Riyadh, Riyadh"
"4 Bedroom Villa For Sale in Al-Yasmin, Riyadh","4,500,000",Villa,4,3,350 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Floor for sale in Al Aziziyyah, South Riyadh","590,000",Floor,4,4,297 Sq. M.,"Al Aziziyah, South Riyadh, Riyadh"
Townhouse apartment - Riyadh - Al Ramal,"1,200,000",Apartment,5,5,188 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"For Sale Residential Land in Al Narjis, North Riyadh","3,350,250",Residential Land,N/A,N/A,450 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Residential Land for Sale in Uraidh, South Riyadh","580,140",Residential Land,N/A,N/A,495 Sq. M.,"Uraidh, South Riyadh, Riyadh"
"Residential Land for Sale in Al Narjis, North Riyadh","7,499,995",Residential Land,N/A,N/A,811 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Villa in East Riyadh，Al Munsiyah 6 bedrooms 3650000 SAR - 87618450,"3,650,000",Villa,6,8,324 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Khaleej 4 bedrooms 1550000 SAR - 87618217,"1,550,000",Floor,4,5,251 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"Resdintal land for sale in  Al Bayan Neighborhood, East Riyadh","1,575,000",Residential Land,N/A,N/A,450 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
"Floor for sale in Qurtubah, East Riyadh","1,650,000",Floor,3,4,172 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","2,600,000",Villa,11,5,380 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Al Janadriyah, east Riyadh","1,050,000",Apartment,11,7,288 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Janadriyah 4 bedrooms 900000 SAR - 87616334,"900,000",Floor,4,3,155 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Janadriyah 4 bedrooms 900000 SAR - 87616333,"900,000",Floor,4,3,155 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Al Janaderiyah neighborhood, Riyadh city, Riyadh area","1,050,000",Apartment,4,4,288 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Floor for sale in Al Janadriyah, east Riyadh","1,150,000",Floor,5,4,206 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Floor for sale in Al Janadriyah, east Riyadh","1,150,000",Floor,5,4,206 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Al Janadriyah, east Riyadh","1,050,000",Apartment,11,7,288 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","2,600,000",Villa,11,5,380 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Floor for sale in Al Janadriyah, east Riyadh","1,150,000",Floor,5,4,206 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Okaz, south Riyadh","1,100,000",Villa,4,4,269 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Land for sale - Dhahrat Laban, Riyadh","6,000,000",Land,N/A,N/A,"1,200 Sq. M.","Dhahrat Laban, West Riyadh, Riyadh"
"Distinct apartment for sale in Al Manar neighborhood, Riyadh","810,000",Apartment,2,4,114 Sq. M.,"Al Manar, East Riyadh, Riyadh"
"Internal Staircase Villa and Apartment for Sale in Al Janadriyah, East Riyadh","1,350,000",Villa,4,5,200 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Upper Floor for Sale in Shubra, West Riyadh","800,000",Floor,3,3,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
"Villa for sale in Narges, Riyadh","3,750,000",Villa,4,4,276 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Villa in North Riyadh，Al Nafal 5 bedrooms 3000000 SAR - 87614315,"3,000,000",Villa,5,4,250 Sq. M.,"Al Nafal, North Riyadh, Riyadh"
"Floor for sale in Qurtubah, east Riyadh","1,650,000",Floor,4,4,198 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Modern Duplex Villa For Sale in Al Arid, North Riyadh","2,500,000",Villa,4,4,265 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for sale in Dhahrat Laban, west of Riyadh","1,200,000",Villa,4,3,547 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Apartment for sale in Al Hazm, west Riyadh","635,000",Apartment,4,3,115 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
"Villa for Sale in Al Nafal, North Riyadh","3,500,000",Villa,7,5,350 Sq. M.,"Al Nafal, North Riyadh, Riyadh"
"New Palace For Sale in Al Nafal, Riyadh","20,000,000",Villa,11,7,"1,500 Sq. M.","Al Nafal, North Riyadh, Riyadh"
"Istiraha for sale in Al Nafal, North Riyadh","20,250,000",Rest House,2,2,"2,700 Sq. M.","Al Nafal, North Riyadh, Riyadh"
"Villa for sale in Yasmin, Riyadh","3,200,000",Villa,4,3,337 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, east Riyadh","2,600,000",Villa,11,5,380 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale on Umrah Street, Al Janadriyah neighborhood, Riyadh city, Riyadh province","900,000",Floor,4,3,155 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Good warehouses land for sale,"7,560,000",Land,N/A,N/A,"4,200 Sq. M.","Taybah, South Riyadh, Riyadh"
"3 Bedrooms Floor For Sale in Al Olaya, Riyadh","1,549,000",Floor,3,3,175 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
Villa in West Riyadh，Al Mahdiyah 5 bedrooms 2100000 SAR - 87621808,"2,100,000",Villa,5,5,354 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 7 bedrooms 2300000 SAR - 87624921,"2,300,000",Villa,7,7,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa in West Riyadh，Al Mahdiyah 4 bedrooms 2000000 SAR - 87621499,"2,000,000",Villa,4,5,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Apartment for sale in in Tuwaiq, West Riyadh","485,000",Apartment,3,2,115 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Apartment for sale in  Dhahrat Laban, West Riyadh","650,000",Apartment,4,3,110 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
Villa in East Riyadh，Al Khaleej 7 bedrooms 2900000 SAR - 87620379,"2,900,000",Villa,7,7,719 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
Villa in East Riyadh，Al Yarmuk 8 bedrooms 2800000 SAR - 87624470,"2,800,000",Villa,8,7,345 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Land for sale in Riyadh, Arid","620,100",Land,N/A,N/A,450 Sq. M.,"Uraidh, South Riyadh, Riyadh"
"Apartment for sale in Al Qirawan, North Riyadh","1,465,409",Apartment,3,3,"1,050 Sq. M.","Al Qirawan, North Riyadh, Riyadh"
Arid neighborhood north of Riyadh,"6,305",Residential Land,N/A,N/A,920 Sq. M.,"Al Arid, North Riyadh, Riyadh"
4 Bedroom Apartment For Sale Riyadh,"2,600,000",Villa,4,3,300 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Land for sale in Al-Janadriyah, in the Al-Ruwaisan plan.","837,200",Land,N/A,N/A,364 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Residential land for sale in Al Urayja Al Gharbiyah, west of Riyadh","1,163,215",Residential Land,N/A,N/A,415 Sq. M.,"Al Uraija Al Gharbiyah, West Riyadh, Riyadh"
"Duplex Villa for Sale in Al Rimal, East Riyadh","1,700,000",Villa,4,2,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
